"ActivityId","ActivityName","Description","ImageUrl","Location","MaxParticipants","CurrentParticipants","StartDate","EndDate","SignupDeadline","WorkerId","TargetAudience","Status","Category"
1,共善共食日,一群人一起做便當,/images/activity0.png,松山社福中心,20,4,2025-07-01 09:30:00.000,2025-07-01 16:30:00.000,2025-06-28,1,public,completed,生活
2,環保公園清潔日,一起打掃社區公園,/images/activity1.png,大安森林公園,30,4,2025-07-10 08:00:00.000,2025-07-10 18:00:00.000,2025-07-07,1,public,completed,生活
3,手作課程日,學習編織杯墊,/images/activity2.png,文山社福中心,25,2,2025-07-15 09:30:00.000,2025-07-15 19:30:00.000,2025-07-12,1,public,open,心靈
4,長者陪伴日,陪伴長者聊天散步,/images/activity3.png,內湖老人日照中心,20,1,2025-07-20 10:00:00.000,2025-07-20 16:30:00.000,2025-07-17,1,public,open,心靈
5,公益趣味運動會,體驗趣味競賽,/images/activity4.png,新莊體育場,50,30,2025-07-27 08:30:00.000,2025-07-27 20:00:00.000,2025-07-24,1,public,open,心靈
6,簡易健康料理課,用低成本做出營養餐點，培養自理能力,/images/activity6.jpg,松山社福廚藝教室,20,2,2025-07-30 09:00:00.000,2025-07-30 17:30:00.000,2025-07-27,1,case,open,生活
7,居家整理與收納技巧,建立乾淨有序的生活空間與規律習慣,/images/activity7.jpg,南港社區教室,25,2,2025-08-01 08:00:00.000,2025-08-01 22:00:00.000,2025-07-29,1,case,open,生活
8,輕瑜伽伸展課,簡單伸展與呼吸練習，幫助舒緩壓力,/images/activity8.jpg,士林社區運動教室,20,6,2025-08-03 11:00:00.000,2025-08-03 22:00:00.000,2025-07-31,1,case,open,運動
9,社區健走小隊,固定步行，建立運動習慣並增加人際互動,/images/activity9.jpg,大安樂活館,30,2,2025-08-05 08:00:00.000,2025-08-05 16:30:00.000,2025-08-02,1,case,open,運動
10,團體桌遊互動日,透過桌遊促進溝通與合作,/images/activity10.png,大同社區中心,25,7,2025-08-07 11:00:00.000,2025-08-07 20:00:00.000,2025-08-04,1,case,open,娛樂
11,創意攝影探索課,學習簡單攝影技巧，表達內心與觀察生活,/images/activity11.png,文山藝術教室,20,2,2025-08-10 11:00:00.000,2025-08-10 21:30:00.000,2025-08-07,1,case,open,娛樂
12,就業面試技巧工作坊,練習面試技巧與自我介紹，提升就業信心,/images/activity12.jpg,台北就業資源中心,20,6,2025-08-12 09:30:00.000,2025-08-12 16:30:00.000,2025-08-09,1,case,open,教育
13,生涯興趣探索課,認識自我特質與潛能，尋找職涯方向,/images/activity13.png,新莊青年職涯中心,15,3,2025-08-14 08:00:00.000,2025-08-14 15:30:00.000,2025-08-11,1,case,open,教育
14,情緒覺察與紓壓課程,認識自己的情緒並學習表達與放鬆,/images/activity14.png,中山心理成長教室,20,4,2025-08-16 08:00:00.000,2025-08-16 17:00:00.000,2025-08-13,1,case,open,心靈
15,正念冥想入門,學習活在當下，減輕焦慮與內在壓力,/images/activity15.jpg,信義社福中心,20,5,2025-08-18 08:30:00.000,2025-08-18 23:30:00.000,2025-08-15,1,case,open,心靈
16,二手書募集活動,收集各類書籍捐贈偏鄉圖書館,/images/activity16.jpg,誠品信義店廣場,50,15,2025-06-01 09:00:00.000,2025-06-30 19:00:00.000,2025-06-27,1,public,completed,音樂
17,街友關懷送餐,準備熱食關懷街友朋友,/images/activity17.jpg,台北車站周邊,30,8,2025-07-09 10:30:00.000,2025-07-16 22:00:00.000,2025-07-13,1,public,open,親子
18,流浪動物關懷活動,協助動物收容所照顧流浪貓狗,/images/activity18.jpg,台北市動物之家,25,25,2025-07-14 09:30:00.000,2025-07-21 23:30:00.000,2025-07-18,1,public,full,教育
19,獨居長者送餐服務,為社區獨居長者準備營養餐點並親自送達，關懷長者身心健康,/images/activity19.jpg,萬華社會福利服務中心,15,15,2025-07-25 09:00:00.000,2025-07-25 16:00:00.000,2025-07-22,1,public,full,社福
20,兒童課輔志工培訓,培訓志工協助弱勢兒童課業輔導，提升學習成效與自信心,/images/activity20.jpg,基督教救助協會,25,20,2025-07-28 10:30:00.000,2025-07-28 20:00:00.000,2025-07-20,1,public,closed,教育
21,淨灘環保行動,組織志工前往海邊進行淨灘活動，守護海洋生態環境,/images/activity21.jpg,新北市金山海灘,40,40,2025-08-03 11:00:00.000,2025-08-03 17:00:00.000,2025-07-30,1,public,full,環保
22,身心障礙者陪伴服務,陪伴身心障礙朋友參與社區活動，促進社會融合與互動,/images/activity22.jpg,台北市身心障礙福利會館,12,8,2025-08-06 08:00:00.000,2025-08-06 15:30:00.000,2025-07-25,1,public,closed,社福
23,弱勢家庭物資發放,協助整理和發放民生物資給需要幫助的弱勢家庭,/images/activity23.jpg,台灣世界展望會,30,30,2025-08-09 11:00:00.000,2025-08-09 19:00:00.000,2025-08-05,1,public,full,社福
24,偏鄉教育資源服務,前往偏鄉地區協助當地學童進行多元學習活動,/images/activity24.jpg,南投縣仁愛鄉國小,20,15,2025-08-11 10:00:00.000,2025-08-13 17:30:00.000,2025-07-28,1,public,closed,教育
